Team,Player Name,Full Name,Born,Current Age,Batting Style,Bowling Style,Batting_Test_matches,Batting_Test_Innings,Batting_Test_Runs,Batting_Test_Avg,Batting_ODI_Matches,Batting_ODI_Innings,Batting_ODI_Runs,Batting_ODI_Highest,Batting_ODI_Avg,Batting_TESTs_Highest,Batting_T20I_Matches,Batting_T20I_Innings,Batting_T20I_runs,Batting_T20I_Highest,Batting_T20I_Avg,Batting_T20_Matches,Batting_T20_Innings,Batting_T20_Runs,Batting_T20_Highest,Batting_T20_average,Test_Debut,ODI_Debut,T20 Debut,Image URL-src,T20I_Debut
Sri Lanka,KC Sangakkara,Kumar Chokshanada Sangakkara,"October 27, 1977, Matale",37 years 33 days,Wicketkeeper batsman,Left-hand bat,128,221,11988,58.76,385,362,12987,169,40.08,319,56,53,1382,78,31.4,155,149,3882,94,29.18,"Sri Lanka v South Africa at Galle, Jul 20-23, 2000 scorecard","Sri Lanka v Pakistan at Galle, Jul 5, 2000 scorecard","Nondescripts Cricket Club v Tamil Union Cricket and Athletic Club at Colombo (Moors), Aug 17, 2004 scorecard",http://www.espncricinfo.com/inline/content/image/800429.html?alt=3,"England v Sri Lanka at Southampton, Jun 15, 2006 scorecard"
Sri Lanka,KMDN Kulasekara,Kulasekara Mudiyanselage Dinesh Nuwan Kulasekara,"July 22, 1982, Nittambuwa",32 years 130 days,Bowler,Right-hand bat,21,28,391,14.48,159,106,1127,73,15.22,64,41,20,148,31,10.57,74,42,324,31,11.57,"New Zealand v Sri Lanka at Napier, Apr 4-8, 2005 scorecard","Sri Lanka v England at Dambulla, Nov 18, 2003 scorecard","Colts Cricket Club v Sri Lanka Air Force Sports Club at Colombo (Moors), Aug 17, 2004 scorecard",http://www.espncricinfo.com/inline/content/image/800407.html?alt=3,"Pakistan v Sri Lanka at King City (NW), Oct 11, 2008 scorecard"
Sri Lanka,MDKJ Perera,Mathurage Don Kusal Janith Perera,"August 17, 1990, Kalubowila",24 years 104 days,Wicketkeeper batsman,Left-hand bat,38,36,808,24.48,18,18,521,84,28.94,106,38,59,2689,336,47.17,NA,NA,NA,NA,NA,NA,"Australia v Sri Lanka at Adelaide, Jan 13, 2013 scorecard","Basnahira South v Schools Invitation XI at Colombo (Burgher), Apr 17, 2008 scorecard",http://www.espncricinfo.com/inline/content/image/600763.html?alt=1,"Australia v Sri Lanka at Sydney, Jan 26, 2013 scorecard"
Sri Lanka,KDK Vithanage,Kasun Disi Kithuruwan Vithanage,"February 26, 1991, Colombo",23 years 276 days,Left-hand bat,Legbreak,6,8,245,40.83,6,6,75,27,15,NA,1,1,38,38,38,30,24,513,NA,27,"Sri Lanka v Bangladesh at Galle, Mar 8-12, 2013 scorecard","Pakistan v Sri Lanka at Abu Dhabi, Dec 25, 2013 scorecard","Ruhuna v Sri Lanka Cricket Combined XI at Kandy, Feb 24, 2010 scorecard",http://www.espncricinfo.com/inline/content/image/766375.html,NA
Sri Lanka,WU Tharanga,Warushavithana Upul Tharanga,"February 2, 1985, Balapitiya",29 years 300 days,Batsman,Left-hand bat,19,34,1019,30.87,176,168,5339,174*,33.57,165,10,10,131,37,13.1,52,52,1349,NA,27.53,"India v Sri Lanka at Ahmedabad, Dec 18-22, 2005 scorecard","Sri Lanka v West Indies at Dambulla, Aug 2, 2005 scorecard","England v Sri Lanka at Southampton, Jun 15, 2006 scorecard",http://www.espncricinfo.com/inline/content/image/800419.html?alt=3,"England v Sri Lanka at Southampton, Jun 15, 2006 scorecard"
Sri Lanka,S Prasanna,Seekkuge Prasanna,"June 27, 1985, Balapitiya",29 years 155 days,Allrounder,Right-hand bat,1,1,5,5,19,16,160,42,11.42,5,3,3,31,21,15.5,39,26,262,NA,13.78,NA,"Sri Lanka v Australia at Colombo (RPS), Aug 20, 2011 scorecard","Kandurata v Schools Invitation XI at Colombo (Police), Mar 28, 2009 scorecard",http://www.espncricinfo.com/inline/content/image/728833.html,"Pakistan v Sri Lanka at Dubai (DSC), Dec 13, 2013 scorecard"
Sri Lanka,SL Malinga,Separamadu Lasith Malinga,"August 28, 1983, Galle",31 years 93 days,Separamadu Lasith Malinga Swarnajith,Bowler,30,37,275,11.45,177,87,442,56,7.24,64,57,17,69,27,6.9,201,64,279,NA,6.8,"Australia v Sri Lanka at Darwin, Jul 1-3, 2004 scorecard","Sri Lanka v United Arab Emirates at Dambulla, Jul 17, 2004 scorecard","Nondescripts Cricket Club v Tamil Union Cricket and Athletic Club at Colombo (Moors), Aug 17, 2004 scorecard",http://www.espncricinfo.com/inline/content/image/800411.html?alt=3,"England v Sri Lanka at Southampton, Jun 15, 2006 scorecard"
Sri Lanka,S Randiv,Hewa Kaluhalamullage Suraj Randiv Kaluhalamulla,"January 30, 1985, Matara",29 years 303 days,Suraj Mohamed,Bowler,12,17,147,9.18,30,17,254,56,15.87,39,7,2,8,6,4,40,15,111,NA,11.1,"Sri Lanka v India at Colombo (SSC), Jul 26-30, 2010 scorecard","India v Sri Lanka at Nagpur, Dec 18, 2009 scorecard","Sinhalese Sports Club v Badureliya Sports Club at Colombo (CCC), Oct 29, 2005 scorecard",http://www.espncricinfo.com/inline/content/image/509334.html?alt=1,"Sri Lanka v Zimbabwe at Providence, May 3, 2010 scorecard"
Sri Lanka,KTGD Prasad,Kariyawasam Tirana Gamage Dhammika Prasad,"May 30, 1983, Ragama",31 years 183 days,Right-hand bat,Right-arm fast-medium,15,21,338,16.9,19,9,100,31*,25,47,1,-,-,-,-,14,11,48,NA,8,"Sri Lanka v India at Colombo (PSS), Aug 8-11, 2008 scorecard","Bangladesh v Sri Lanka at Chittagong, Feb 25, 2006 scorecard","Sinhalese Sports Club v Nondescripts Cricket Club at Colombo (CCC), Feb 28, 2007 scorecard",http://www.espncricinfo.com/inline/content/image/787547.html,NA
Sri Lanka,NLTC Perera,Narangoda Liyanaarachchilage Thisara Chirantha Perera,"April 3, 1989, Colombo",25 years 240 days,Allrounder,Left-hand bat,6,10,203,20.3,86,64,941,80*,18.09,75,38,31,466,49,33.28,120,97,1302,72,21.34,"England v Sri Lanka at Cardiff, May 26-30, 2011 scorecard","India v Sri Lanka at Kolkata, Dec 24, 2009 scorecard","Basnahira North v Wayamba at Colombo (Colts), Apr 17, 2008 scorecard",http://www.espncricinfo.com/inline/content/image/800399.html?alt=3,"Sri Lanka v Zimbabwe at Providence, May 3, 2010 scorecard"
